SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,"VOLUME 
(shares)","VALUE 
 (₹ Crores)",52W H,52W L,30 D   %CHNG,"365 D % CHNG 
 26-Jul-2023",YAHOO_SYMBOL
PAYTM,459.00,509.05,459.00,462.80,509.05,46.25,9.99,"1,04,81,268",518.45,998.30,310.00,24.36,-34.70,PAYTM.NS
SHRIRAMFIN,"2,705.80","3,044.00","2,690.00","2,679.00","2,934.00",255.0,9.52,"64,39,336","1,850.85","3,059.45","1,760.10",-2.14,61.46,SHRIRAMFIN.NS
BHARATFORG,"1,604.60","1,694.30","1,604.60","1,592.40","1,690.00",97.6,6.13,"27,55,566",461.10,"1,804.50",867.10,0.32,87.69,BHARATFORG.NS
MPHASIS,"2,800.00","3,080.95","2,800.00","2,844.60","3,017.65",173.05,6.08,"39,19,873","1,184.15","3,080.95","2,069.10",25.23,32.83,MPHASIS.NS
ASHOKLEY,235.10,248.89,235.10,232.43,246.50,14.07,6.05,"4,58,04,874","1,122.40",248.89,157.55,2.58,35.45,ASHOKLEY.NS
PEL,938.70,998.75,938.70,938.70,993.00,54.3,5.78,"39,43,694",388.67,"1,139.95",736.60,9.34,-9.46,PEL.NS
CIPLA,"1,504.75","1,600.00","1,501.00","1,500.05","1,586.50",86.45,5.76,"46,87,416",728.36,"1,600.00","1,042.15",6.48,34.45,CIPLA.NS
DIVISLAB,"4,570.95","4,810.00","4,563.85","4,547.00","4,792.25",245.25,5.39,"12,62,221",598.06,"4,810.00","3,295.30",5.4,28.03,DIVISLAB.NS
IDEA,15.42,16.14,15.40,15.18,15.98,0.8,5.27,"74,66,10,397","1,184.12",19.18,7.50,-11.32,88.00,IDEA.NS
PIIND,"4,025.85","4,214.50","4,010.00","4,008.10","4,214.50",206.4,5.15,"7,56,611",314.67,"4,214.50","3,220.00",11.42,18.26,PIIND.NS
TATAPOWER,432.00,446.20,430.15,423.35,445.00,21.65,5.11,"3,32,85,673","1,466.33",464.20,219.80,2.89,101.31,TATAPOWER.NS
INDUSTOWER,439.90,447.35,435.00,424.85,446.00,21.15,4.98,"2,08,29,504",921.16,447.35,157.35,24.92,152.76,INDUSTOWER.NS
SJVN,156.53,159.65,147.50,141.04,148.00,6.96,4.93,"10,52,99,846","1,613.93",170.50,52.75,14.22,164.48,SJVN.NS
DELHIVERY,382.00,398.75,380.20,379.75,396.75,17.0,4.48,"34,76,015",136.81,488.00,354.20,-0.29,-1.27,DELHIVERY.NS
BHARTIARTL,"1,450.25","1,520.00","1,449.15","1,449.15","1,511.75",62.6,4.32,"95,64,987","1,433.99","1,536.25",847.05,3.76,69.18,BHARTIARTL.NS
APOLLOHOSP,"6,433.00","6,679.95","6,393.55","6,385.80","6,650.00",264.2,4.14,"4,32,671",285.17,"6,874.45","4,726.00",8.6,27.78,APOLLOHOSP.NS
LAURUSLABS,414.00,456.70,414.00,433.85,451.70,17.85,4.11,"71,86,333",319.63,484.30,328.15,5.05,30.58,LAURUSLABS.NS
LTF,174.90,180.90,174.17,173.73,180.60,6.87,3.95,"74,55,371",133.30,194.25,116.50,-0.68,-,LTF.NS
BALKRISIND,"3,165.10","3,300.00","3,163.60","3,160.95","3,284.70",123.75,3.91,"4,31,978",140.30,"3,363.95","2,193.80",3.29,32.63,BALKRISIND.NS
INDHOTEL,631.30,649.00,627.25,623.45,647.70,24.25,3.89,"46,29,592",298.05,662.95,371.60,-0.45,68.07,INDHOTEL.NS
VEDL,439.00,448.15,434.60,430.90,447.25,16.35,3.79,"2,87,49,214","1,275.98",506.75,208.00,0.54,60.38,VEDL.NS
JSWENERGY,670.00,705.80,670.00,668.15,693.00,24.85,3.72,"37,24,008",258.33,752.00,286.00,-2.63,139.65,JSWENERGY.NS
JINDALSTEL,947.20,973.50,942.30,937.80,972.00,34.2,3.65,"31,21,650",302.14,"1,097.00",581.60,-7.14,47.37,JINDALSTEL.NS
BANDHANBNK,185.10,193.25,184.75,185.83,192.60,6.77,3.64,"1,44,31,603",273.32,263.10,169.15,-6.36,-11.11,BANDHANBNK.NS
ADANIPORTS,"1,495.90","1,547.90","1,490.00","1,487.00","1,540.75",53.75,3.61,"45,00,728",688.87,"1,621.40",741.90,5.11,106.04,ADANIPORTS.NS
CHOLAFIN,"1,364.00","1,437.15","1,351.95","1,363.65","1,412.05",48.4,3.55,"22,39,763",316.07,"1,476.20",997.25,-1.35,24.21,CHOLAFIN.NS
GMRINFRA,93.90,97.69,93.89,94.10,97.42,3.32,3.53,"2,09,47,325",202.04,101.25,47.90,-1.03,97.70,GMRINFRA.NS
NMDC,232.45,239.32,232.06,229.87,237.90,8.03,3.49,"83,95,880",199.03,286.35,110.90,-4.29,112.61,NMDC.NS
WIPRO,510.00,528.55,508.50,506.85,524.50,17.65,3.48,"1,30,76,998",681.01,579.90,375.05,5.98,31.22,WIPRO.NS
OBEROIRLTY,"1,734.00","1,802.00","1,733.05","1,729.25","1,788.75",59.5,3.44,"8,99,262",160.43,"1,953.05","1,051.10",-0.64,60.23,OBEROIRLTY.NS
SAIL,145.00,147.98,143.84,142.59,147.41,4.82,3.38,"2,59,11,057",379.75,175.35,81.80,2.38,59.34,SAIL.NS
TATASTEEL,158.75,162.95,158.21,157.39,162.62,5.23,3.32,"4,56,42,032",738.85,184.60,114.60,-5.8,35.68,TATASTEEL.NS
ADANIENT,"2,995.00","3,109.00","2,988.10","2,973.50","3,072.25",98.75,3.32,"19,42,427",595.65,"3,743.90","2,142.00",-2.84,26.85,ADANIENT.NS
SUNPHARMA,"1,670.45","1,723.80","1,665.00","1,665.80","1,721.00",55.2,3.31,"45,91,049",780.31,"1,723.80","1,068.35",12.69,51.04,SUNPHARMA.NS
DIXON,"10,970.00","11,312.00","10,945.10","10,910.15","11,268.00",357.85,3.28,"2,92,939",327.04,"12,879.00","4,000.05",-1.1,178.30,DIXON.NS
SBILIFE,"1,686.25","1,777.70","1,686.25","1,695.40","1,750.60",55.2,3.26,"29,82,227",521.64,"1,777.70","1,251.65",20.68,35.05,SBILIFE.NS
LTIM,"5,599.85","5,811.90","5,585.05","5,597.90","5,780.00",182.1,3.25,"4,97,275",286.21,"6,442.00","4,513.55",11.8,19.04,LTIM.NS
HCLTECH,"1,602.80","1,640.00","1,594.00","1,587.60","1,638.80",51.2,3.22,"28,14,159",457.30,"1,697.35","1,096.00",13.27,46.36,HCLTECH.NS
ICICIPRULI,702.80,731.45,701.60,701.70,724.10,22.4,3.19,"38,00,832",274.53,731.45,463.45,21.53,26.66,ICICIPRULI.NS
HINDALCO,660.00,668.50,655.00,646.55,667.05,20.5,3.17,"47,30,539",313.75,715.25,438.15,-1.05,47.90,HINDALCO.NS
PFC,529.95,541.35,521.10,525.05,538.90,16.35,3.13,"91,26,406",487.16,580.00,189.52,12.27,112.73,PFC.NS
AUBANK,621.00,652.35,620.55,631.65,650.90,19.25,3.05,"45,55,752",292.51,813.40,553.70,-6.07,-10.81,AUBANK.NS
INFY,"1,825.35","1,883.00","1,825.35","1,824.85","1,880.00",55.15,3.02,"1,13,69,047","2,128.15","1,883.00","1,333.25",21.95,38.85,INFY.NS
LICHSGFIN,767.90,797.00,767.00,766.90,790.00,23.1,3.01,"17,76,371",139.49,826.75,390.00,1.61,99.22,LICHSGFIN.NS
BEL,303.80,310.50,302.00,301.45,310.45,9.0,2.99,"2,45,12,844",754.09,340.50,123.50,0.99,143.54,BEL.NS
ABCAPITAL,219.90,224.45,217.30,217.65,224.11,6.46,2.97,"70,18,470",155.40,246.90,155.00,-5.96,16.61,ABCAPITAL.NS
ABB,"7,698.95","7,870.00","7,649.35","7,623.80","7,849.00",225.2,2.95,"2,37,187",184.76,"9,149.95","3,850.00",-6.43,78.43,ABB.NS
HDFCLIFE,683.15,709.80,682.05,683.15,703.25,20.1,2.94,"89,33,046",625.98,710.60,511.40,19.4,6.17,HDFCLIFE.NS
TIINDIA,"4,050.00","4,185.00","4,050.00","4,030.00","4,148.00",118.0,2.93,"2,22,412",92.24,"4,681.70","2,758.00",-1.65,33.31,TIINDIA.NS
COALINDIA,498.25,511.70,498.25,494.00,508.45,14.45,2.93,"2,04,37,968","1,038.37",527.40,226.85,8.77,122.59,COALINDIA.NS
TATACOMM,"1,842.00","1,893.95","1,835.10","1,831.35","1,884.90",53.55,2.92,"5,88,627",110.65,"2,084.65","1,543.40",2.43,9.20,TATACOMM.NS
UPL,529.15,545.00,529.10,529.45,544.50,15.05,2.84,"14,88,053",80.56,639.05,447.80,-4.59,-13.18,UPL.NS
JSWSTEEL,880.00,908.80,875.30,874.50,899.00,24.5,2.8,"20,56,457",184.90,959.40,723.00,-2.03,13.46,JSWSTEEL.NS
