iter	RMSE
0	168.6942226
1	160.5217674
2	152.9204769
3	145.5664733
4	138.6993174
5	132.0280282
6	125.8238626
7	119.9380127
8	114.3596494
9	109.062843
10	104.0372701
11	99.10038228
12	94.36399476
13	89.84937255
14	85.62403087
15	81.52347307
16	77.70646862
17	74.07516491
18	70.54476867
19	67.24580869
20	64.03890294
21	61.06250233
22	58.2051437
23	55.47339021
24	52.85860409
25	50.36956423
26	48.00623772
27	45.77303031
28	43.63038646
29	41.61247559
30	39.66185643
31	37.80068906
32	36.03266666
33	34.35451719
34	32.76287404
35	31.23026953
36	29.80116481
37	28.42300054
38	27.12922765
39	25.89374822
40	24.72441791
41	23.57424311
42	22.52986691
43	21.529188
44	20.57511906
45	19.64650768
46	18.77839805
47	17.97635001
48	17.19145042
49	16.4407103
50	15.75576902
51	15.08948626
52	14.46726734
53	13.84767165
54	13.26278099
55	12.72760015
56	12.20518894
57	11.71384373
58	11.25287383
59	10.8157905
60	10.39794292
61	10.02195784
62	9.659437149
63	9.311195699
64	8.971319282
65	8.666311858
66	8.368717729
67	8.096796356
68	7.829840525
69	7.584522805
70	7.362961144
71	7.147451766
72	6.941665481
73	6.743864937
74	6.559866429
75	6.382339821
76	6.221036216
77	6.068926618
78	5.917854133
79	5.777383063
80	5.661332464
81	5.54540007
82	5.429209126
83	5.318649988
84	5.228140379
85	5.130812479
86	5.039527324
87	4.951999996
88	4.872765261
89	4.800592682
90	4.734614038
91	4.664359862
92	4.59251959
93	4.533531978
94	4.476401736
95	4.425430465
96	4.378901768
97	4.322953799
98	4.279800765
99	4.237109453
100	4.199742341
101	4.164816874
102	4.125094562
103	4.091301509
104	4.056962816
105	4.03000086
106	3.995618324
107	3.972527573
108	3.94216881
109	3.904769372
110	3.864661121
111	3.832821195
112	3.811045
113	3.790253294
114	3.766142488
115	3.736431592
116	3.712740767
117	3.690887951
118	3.668730498
119	3.645494089
120	3.622581994
121	3.599326528
122	3.580411071
123	3.566525494
124	3.544826441
125	3.527039416
126	3.5096156
127	3.481607637
128	3.470227941
129	3.45573752
130	3.441773884
131	3.425361736
132	3.407238249
133	3.391111181
134	3.368795883
135	3.356825648
136	3.345439368
137	3.332135179
138	3.321237592
139	3.311099579
140	3.296955841
141	3.285918558
142	3.277639414
143	3.265423864
144	3.256061697
145	3.24935772
146	3.230632768
147	3.221720462
148	3.205881542
149	3.194481718
150	3.185159583
151	3.169710078
152	3.157709985
153	3.149570367
154	3.137790203
155	3.127827333
156	3.118828917
157	3.10962411
158	3.100101349
159	3.087195291
160	3.07472397
161	3.067883136
162	3.059042814
163	3.046334657
164	3.038559952
165	3.029564291
166	3.021692553
167	3.013835555
168	2.999897417
169	2.991945895
170	2.9812888
171	2.970799472
172	2.960734467
173	2.954695933
174	2.949194379
175	2.943590174
176	2.935355877
177	2.924481482
178	2.918430003
179	2.912178627
180	2.901678633
181	2.890034531
182	2.877093873
183	2.872280313
184	2.867243589
185	2.860835229
186	2.852505769
187	2.848186112
188	2.840473731
189	2.827421847
190	2.8231312
191	2.813287928
192	2.802660081
193	2.791193833
194	2.786094044
195	2.781221314
196	2.776423458
197	2.769545514
198	2.758663408
199	2.75219644
200	2.749247736
201	2.739548947
202	2.735971632
203	2.726340678
204	2.719281522
205	2.715116915
206	2.706224665
207	2.702456429
208	2.696889075
209	2.692437614
210	2.689058177
211	2.684897274
212	2.674442189
213	2.669931018
214	2.66204296
215	2.655970245
216	2.651713187
217	2.646836023
218	2.634252578
219	2.629858568
220	2.619301266
221	2.609606264
222	2.603548321
223	2.595335418
224	2.591474253
225	2.588677065
226	2.582255208
227	2.577556983
228	2.573752579
229	2.5667452
230	2.559160597
231	2.556284785
232	2.552160496
233	2.545657291
234	2.539559595
235	2.535940783
236	2.527886017
237	2.525324729
238	2.518281269
239	2.513504764
240	2.505000824
241	2.500293116
242	2.494348208
243	2.4892833
244	2.48283084
245	2.477085966
246	2.472844188
247	2.468290772
248	2.465799555
249	2.463105395
250	2.458103423
251	2.452528886
252	2.450499266
253	2.444997573
254	2.442323422
255	2.436918628
256	2.433003011
257	2.429474259
258	2.424121915
259	2.418649318
260	2.416583274
261	2.412131249
262	2.410162966
263	2.40756593
264	2.403256782
265	2.400921323
266	2.396273158
267	2.392514463
268	2.389418022
269	2.384044224
270	2.382275257
271	2.379065895
272	2.376485057
273	2.373675069
274	2.368726934
275	2.367032044
276	2.362431057
277	2.358366348
278	2.352199701
279	2.346429581
280	2.344537493
281	2.34210441
282	2.339150324
283	2.335377512
284	2.332731239
285	2.328244373
286	2.323977214
287	2.3157293
288	2.308433162
289	2.304036517
290	2.302445829
291	2.297927247
292	2.293699775
293	2.286963212
294	2.282253816
295	2.280601572
296	2.279199924
297	2.274777937
298	2.27037256
299	2.269039827
300	2.267286
301	2.262139279
302	2.258122286
303	2.252179737
304	2.245697282
305	2.240919694
306	2.237708902
307	2.232616876
308	2.231269308
309	2.226498972
310	2.224218911
311	2.222957001
312	2.221981635
313	2.220799254
314	2.215076131
315	2.211621029
316	2.209202084
317	2.206991588
318	2.202921806
319	2.197363949
320	2.195342653
321	2.19339899
322	2.191010843
323	2.186933623
324	2.185473677
325	2.184306774
326	2.182563421
327	2.180625656
328	2.176914337
329	2.174315158
330	2.170288553
331	2.166721787
332	2.165449841
333	2.164191224
334	2.161345434
335	2.157756922
336	2.154643734
337	2.151291189
338	2.148381968
339	2.146590892
340	2.142810168
341	2.137876703
342	2.135781109
343	2.134874558
344	2.13302919
345	2.131600296
346	2.128004575
347	2.124636091
348	2.120165285
349	2.115935993
350	2.114873612
351	2.113066746
352	2.109967489
353	2.108977134
354	2.105585751
355	2.101046668
356	2.096788391
357	2.093193017
358	2.090287284
359	2.086960989
360	2.084020257
361	2.082628542
362	2.081639818
363	2.079911505
364	2.077843837
365	2.075326993
366	2.07360442
367	2.070751662
368	2.067558681
369	2.066331135
370	2.06335993
371	2.060905869
372	2.058160066
373	2.055344813
374	2.053905012
375	2.049813185
376	2.04473541
377	2.041211763
378	2.039016456
379	2.036801015
380	2.034240216
381	2.031904688
382	2.02888666
383	2.027801314
384	2.024873744
385	2.022272798
386	2.019232594
387	2.014188613
388	2.012756009
389	2.008575757
390	2.006202719
391	2.003269291
392	2.002620339
393	1.999717275
394	1.998314693
395	1.997466603
396	1.994875262
397	1.993196275
398	1.9912716
399	1.988701406
400	1.986672147
401	1.984127664
402	1.983151919
403	1.981838261
404	1.980058291
405	1.97751631
406	1.973328932
407	1.971993171
408	1.969855858
409	1.967283291
410	1.965719047
411	1.961685785
412	1.959645382
413	1.955747246
414	1.952774269
415	1.950244348
416	1.949136413
417	1.946951456
418	1.944904605
419	1.942186129
420	1.938797069
421	1.936462016
422	1.93393234
423	1.931931816
424	1.929119799
425	1.928057674
426	1.925371743
427	1.9232135
428	1.922248782
429	1.920751222
430	1.918868928
431	1.916460798
432	1.915189627
433	1.913773223
434	1.910369163
435	1.908424554
436	1.907795858
437	1.905548432
438	1.902949699
439	1.900601782
440	1.899026257
441	1.897199392
442	1.895994729
443	1.893951395
444	1.893092544
445	1.89116962
446	1.890557899
447	1.888937043
448	1.886932613
449	1.885311365
450	1.882863516
451	1.881042812
452	1.878757907
453	1.877693868
454	1.875532895
455	1.873578746
456	1.871680632
457	1.870407093
458	1.869100794
459	1.866851879
460	1.866184616
461	1.865591337
462	1.863828651
463	1.862094483
464	1.860495092
465	1.857863941
466	1.855323166
467	1.853529436
468	1.85231463
469	1.850127974
470	1.849154832
471	1.846985657
472	1.8445442
473	1.844181823
474	1.843501712
475	1.841043408
476	1.839647265
477	1.839306194
478	1.836864207
479	1.834682867
480	1.833822023
481	1.831625421
482	1.830453512
483	1.829058897
484	1.827088109
485	1.825265479
486	1.823366592
487	1.821131264
488	1.81905648
489	1.818388047
490	1.816899303
491	1.815434337
492	1.813454426
493	1.812800803
494	1.811865077
495	1.810616312
496	1.809290184
497	1.808682928
498	1.807068624
499	1.805193641
500	1.803693685
501	1.803185774
502	1.801201123
503	1.799224129
504	1.797420902
505	1.795710915
506	1.794336309
507	1.792135065
508	1.790533384
509	1.788912103
510	1.787636576
511	1.784685753
512	1.782806881
513	1.782153769
514	1.780154083
515	1.778536541
516	1.777578437
517	1.775789111
518	1.775132433
519	1.773555236
520	1.771824514
521	1.769731309
522	1.768145416
523	1.767107182
524	1.765672296
525	1.763943506
526	1.760849376
527	1.759578
528	1.759209514
529	1.757256776
530	1.754936577
531	1.753981055
532	1.752862494
533	1.750839149
534	1.750139934
535	1.749146669
536	1.748112464
537	1.746221013
538	1.745129326
539	1.744027419
540	1.742486261
541	1.741126116
542	1.738472775
543	1.734853368
544	1.733851214
545	1.732771644
546	1.731495261
547	1.729954324
548	1.72901338
549	1.727436934
550	1.726620044
551	1.725048679
552	1.723770983
553	1.72291981
554	1.721229751
555	1.719773381
556	1.717616063
557	1.717027992
558	1.715836688
559	1.714933312
560	1.713115133
561	1.711451207
562	1.709616325
563	1.708442692
564	1.70752515
565	1.705636335
566	1.702838433
567	1.701924281
568	1.700751125
569	1.70014088
570	1.697809098
571	1.696944697
572	1.69637656
573	1.693536757
574	1.692615846
575	1.691414365
576	1.689988416
577	1.68821244
578	1.687162729
579	1.686008633
580	1.684355574
581	1.68292316
582	1.681013206
583	1.679257319
584	1.678778924
585	1.676586865
586	1.675437651
587	1.674851686
588	1.673398638
589	1.672284108
590	1.67106148
591	1.669598424
592	1.66840526
593	1.666755726
594	1.665272782
595	1.663688346
596	1.662769967
597	1.661820799
598	1.661408194
599	1.658755878
600	1.657528857
601	1.65688602
602	1.655243364
603	1.653792354
604	1.652668092
605	1.65007649
606	1.649399808
607	1.647808303
608	1.646296843
609	1.64552986
610	1.643395635
611	1.642757738
612	1.640308427
613	1.639440707
614	1.637787419
615	1.636735471
616	1.636317221
617	1.635684919
618	1.634860674
619	1.633339586
620	1.632414442
621	1.631152616
622	1.629762528
623	1.627884364
624	1.625915586
625	1.625048507
626	1.624185768
627	1.623705488
628	1.622246726
629	1.621074361
630	1.62004508
631	1.618157286
632	1.617008887
633	1.616219769
634	1.615441996
635	1.61443745
636	1.61328965
637	1.612006054
638	1.611081319
639	1.610445464
640	1.609291104
641	1.608351135
642	1.607004065
643	1.605308203
644	1.604341942
645	1.60341088
646	1.60236656
647	1.601149998
648	1.600161817
649	1.598826383
650	1.597220009
651	1.596069421
652	1.59484416
653	1.594090694
654	1.59272632
655	1.591409834
656	1.590561547
657	1.588999153
658	1.588114089
659	1.586800277
660	1.585842947
661	1.585005103
662	1.584436189
663	1.583168007
664	1.582131686
665	1.581162728
666	1.580138639
667	1.578910802
668	1.577978195
669	1.577001729
670	1.574873803
671	1.574124018
672	1.573244306
673	1.572441569
674	1.571857701
675	1.571005198
676	1.570464051
677	1.569838078
678	1.568678691
679	1.567789501
680	1.565840769
681	1.56481341
682	1.563742921
683	1.562770246
684	1.561195807
685	1.56067086
686	1.560050858
687	1.559502149
688	1.558916213
689	1.558292541
690	1.557164559
691	1.556104183
692	1.555479877
693	1.55466119
694	1.553372477
695	1.55187319
696	1.550699376
697	1.54919428
698	1.548767329
699	1.547799158
700	1.546829976
701	1.545922819
702	1.54455126
703	1.543750097
704	1.542843978
705	1.542348734
706	1.540694847
707	1.540306408
708	1.538860475
709	1.538156533
710	1.53634905
711	1.535147464
712	1.534394311
713	1.532621301
714	1.532165445
715	1.531133879
716	1.529242257
717	1.528292742
718	1.527945238
719	1.526666019
720	1.524736483
721	1.523370132
722	1.522753979
723	1.521654387
724	1.520990978
725	1.51935138
726	1.518603816
727	1.516795449
728	1.515308799
729	1.514622542
730	1.513749863
731	1.513045598
732	1.511574219
733	1.510413585
734	1.509948047
735	1.508805335
736	1.508243129
737	1.507087845
738	1.506233549
739	1.504996637
740	1.503969549
741	1.502373642
742	1.50142049
743	1.500746831
744	1.499645692
745	1.498968908
746	1.49809386
747	1.496634761
748	1.495973505
749	1.494553447
750	1.493406458
751	1.492775733
752	1.491455231
753	1.491024522
754	1.490092836
755	1.489415904
756	1.487499104
757	1.486504786
758	1.485669278
759	1.484698522
760	1.4839536
761	1.483172973
762	1.482680255
763	1.482298185
764	1.481215696
765	1.480759397
766	1.478638912
767	1.478060705
768	1.477156676
769	1.476440394
770	1.476044923
771	1.475759508
772	1.474815815
773	1.473915869
774	1.473003683
775	1.472486642
776	1.471409673
777	1.47022761
778	1.469345758
779	1.468349085
780	1.467294461
781	1.466302212
782	1.465510715
783	1.463934066
784	1.463440726
785	1.462586418
786	1.460213146
787	1.459245259
788	1.458691294
789	1.45771217
790	1.456576114
791	1.456076657
792	1.455539148
793	1.454706156
794	1.4542366
795	1.453203943
796	1.452305798
797	1.451665317
798	1.450885115
799	1.45043979
800	1.449727187
801	1.448957132
802	1.447975199
803	1.446334799
804	1.444580129
805	1.443200552
806	1.442217753
807	1.441536257
808	1.441050588
809	1.44001728
810	1.438890085
811	1.43799544
812	1.437161171
813	1.43649834
814	1.435772546
815	1.434785321
816	1.43397404
817	1.433317568
818	1.431860351
819	1.430933718
820	1.429909517
821	1.429499591
822	1.428316539
823	1.427572593
824	1.427103691
825	1.426171024
826	1.425021741
827	1.424516317
828	1.424036889
829	1.423145995
830	1.422006823
831	1.421374586
832	1.420843922
833	1.420343523
834	1.419860119
835	1.418772217
836	1.418102205
837	1.417731754
838	1.417063776
839	1.416215221
840	1.414750297
841	1.414439684
842	1.413703678
843	1.412746167
844	1.41250284
845	1.41207992
846	1.411365629
847	1.410739896
848	1.409927297
849	1.409205277
850	1.408605448
851	1.40802131
852	1.406832802
853	1.406502678
854	1.405956077
855	1.404769959
856	1.404447935
857	1.404115107
858	1.403790411
859	1.402479979
860	1.402094826
861	1.401702995
862	1.400966352
863	1.400656512
864	1.399478671
865	1.398918896
866	1.397813192
867	1.39685988
868	1.396114496
869	1.39455784
870	1.393131757
871	1.391544053
