iter	Passed	Remaining
0	1	1538
1	3	1556
2	4	1574
3	6	1657
4	8	1631
5	9	1610
6	11	1608
7	12	1603
8	14	1618
9	16	1602
10	17	1590
11	19	1575
12	20	1566
13	22	1608
14	24	1603
15	26	1621
16	27	1609
17	29	1596
18	30	1587
19	32	1580
20	33	1576
21	35	1582
22	37	1579
23	38	1583
24	40	1569
25	41	1567
26	43	1574
27	45	1568
28	46	1564
29	48	1560
30	49	1559
31	51	1553
32	52	1550
33	54	1552
34	56	1550
35	59	1592
36	61	1588
37	62	1585
38	64	1581
39	65	1580
40	67	1577
41	68	1570
42	70	1575
43	73	1586
44	75	1592
45	76	1588
46	78	1583
47	79	1579
48	81	1572
49	82	1568
50	83	1561
51	85	1555
52	87	1557
53	88	1552
54	89	1545
55	91	1541
56	92	1538
57	94	1536
58	96	1533
59	97	1530
60	99	1524
61	100	1520
62	102	1517
63	103	1517
64	105	1514
65	106	1511
66	108	1508
67	109	1505
68	111	1505
69	113	1501
70	114	1498
71	115	1493
72	117	1490
73	119	1491
74	121	1493
75	122	1488
76	123	1485
77	125	1484
78	127	1482
79	128	1479
80	130	1477
81	131	1475
82	133	1471
83	134	1471
84	136	1469
85	138	1466
86	139	1463
87	140	1459
88	142	1455
89	143	1453
90	145	1450
91	146	1448
92	148	1446
93	149	1443
94	151	1443
95	153	1441
96	154	1438
97	156	1437
98	157	1435
99	159	1432
100	160	1429
101	162	1427
102	163	1424
103	165	1422
104	166	1420
105	168	1420
106	170	1420
107	171	1419
108	173	1418
109	175	1417
110	176	1414
111	178	1411
112	179	1409
113	180	1406
114	182	1403
115	184	1404
116	185	1403
117	187	1401
118	189	1399
119	190	1397
120	192	1396
121	193	1394
122	195	1393
123	196	1390
124	198	1388
125	200	1387
126	201	1385
127	203	1383
128	204	1382
129	206	1379
130	207	1379
131	209	1377
132	211	1376
133	212	1374
134	214	1371
135	215	1371
136	217	1369
137	218	1366
138	220	1364
139	221	1363
140	223	1361
141	225	1360
142	226	1358
143	228	1356
144	229	1354
145	231	1352
146	234	1359
147	235	1357
148	237	1355
149	238	1353
150	240	1350
151	241	1349
152	243	1347
153	245	1345
154	246	1343
155	248	1343
156	250	1343
157	251	1342
158	253	1341
159	254	1338
160	256	1337
161	258	1336
162	259	1334
163	261	1333
164	263	1334
165	265	1333
166	266	1331
167	268	1330
168	270	1328
169	271	1326
170	273	1325
171	274	1322
172	276	1322
173	278	1322
174	279	1319
175	281	1317
176	283	1316
177	284	1314
178	286	1312
179	287	1310
180	289	1309
181	291	1308
182	292	1306
183	294	1305
184	296	1304
185	297	1301
186	299	1300
187	300	1298
188	302	1297
189	303	1295
190	305	1293
191	306	1291
192	308	1290
193	310	1289
194	311	1287
195	313	1285
196	314	1283
197	316	1281
198	318	1280
199	319	1279
200	321	1278
201	323	1276
202	324	1274
203	326	1273
204	327	1271
205	329	1270
206	331	1268
207	332	1266
208	334	1264
209	335	1262
210	336	1260
211	338	1257
212	339	1255
213	341	1253
214	342	1251
215	344	1250
216	346	1248
217	347	1247
218	349	1245
219	351	1245
220	352	1243
221	354	1242
222	355	1239
223	357	1237
224	358	1236
225	360	1235
226	362	1234
227	364	1232
228	365	1231
229	367	1228
230	368	1227
231	370	1225
232	371	1224
233	373	1222
234	375	1221
235	376	1219
236	378	1217
237	379	1216
238	381	1214
239	383	1213
240	384	1211
241	386	1210
242	388	1209
243	389	1207
244	391	1206
245	392	1204
246	394	1202
247	395	1200
248	397	1198
249	398	1196
250	400	1194
251	401	1192
252	403	1191
253	404	1189
254	406	1187
255	408	1186
256	409	1184
257	411	1182
258	412	1180
259	414	1178
260	415	1176
261	417	1175
262	418	1173
263	420	1171
264	421	1170
265	423	1169
266	425	1167
267	426	1165
268	428	1164
269	429	1162
270	431	1160
271	432	1158
272	434	1156
273	435	1154
274	437	1152
275	438	1151
276	441	1151
277	442	1149
278	444	1148
279	445	1146
280	447	1144
281	448	1142
282	450	1140
283	452	1139
284	453	1138
285	455	1136
286	457	1136
287	458	1134
288	460	1132
289	461	1130
290	463	1129
291	465	1127
292	466	1125
293	467	1123
294	469	1122
295	470	1119
296	472	1119
297	474	1117
298	476	1116
299	477	1114
300	479	1112
301	480	1110
302	482	1109
303	483	1107
304	485	1105
305	486	1104
306	488	1103
307	490	1101
308	491	1099
309	493	1098
310	494	1096
311	496	1094
312	497	1093
313	499	1091
314	500	1089
315	502	1087
316	504	1086
317	505	1084
318	507	1082
319	508	1080
320	510	1079
321	511	1077
322	513	1076
323	515	1074
324	516	1072
325	518	1071
326	519	1070
327	521	1068
328	523	1066
329	524	1065
330	526	1063
331	527	1061
332	529	1060
333	530	1058
334	532	1056
335	533	1055
336	535	1053
337	537	1052
338	538	1050
339	540	1048
340	542	1047
341	544	1046
342	545	1045
343	547	1043
344	548	1041
345	550	1040
346	551	1038
347	553	1036
348	555	1035
349	556	1034
350	558	1032
351	559	1030
352	561	1029
353	563	1027
354	564	1025
355	566	1024
356	567	1022
357	568	1020
358	570	1019
359	572	1017
360	573	1015
361	575	1014
362	576	1012
363	578	1011
364	580	1009
365	581	1007
366	583	1005
367	584	1004
368	586	1002
369	588	1001
370	589	999
371	590	997
372	592	995
373	594	994
374	595	992
375	597	990
376	598	989
377	600	987
378	601	985
379	603	984
380	604	982
381	606	981
382	607	979
383	609	977
384	610	975
385	612	973
386	613	972
387	615	970
388	616	969
389	618	967
390	620	965
391	621	964
392	623	962
393	624	960
394	625	958
395	627	957
396	628	955
397	630	953
398	631	951
399	633	949
