iter	RMSE
0	201.1987795
1	191.6422776
2	182.7970567
3	174.296111
4	166.2950442
5	158.4956284
6	151.1972152
7	144.2616849
8	137.7563982
9	131.5741525
10	125.6240844
11	119.67471
12	114.0540405
13	108.6798166
14	103.7930597
15	98.97982592
16	94.40824105
17	90.25269719
18	86.08157629
19	82.08018942
20	78.26508829
21	74.77056345
22	71.44687298
23	68.10886073
24	65.00381301
25	62.02805375
26	59.16744695
27	56.44066514
28	53.86093118
29	51.44086483
30	49.11559335
31	46.85881463
32	44.7551832
33	42.79559917
34	40.94371973
35	39.1126754
36	37.3797437
37	35.73690224
38	34.1720699
39	32.68003545
40	31.26281671
41	29.9009148
42	28.63841898
43	27.44543138
44	26.27895664
45	25.14818434
46	24.09110496
47	23.09113097
48	22.14836461
49	21.24740838
50	20.38613749
51	19.5839629
52	18.82006892
53	18.06839606
54	17.36852131
55	16.71878091
56	16.06923566
57	15.45323042
58	14.88601158
59	14.36154732
60	13.86794524
61	13.38731374
62	12.91885216
63	12.47293192
64	12.07729586
65	11.68821713
66	11.31196515
67	10.95933622
68	10.61742407
69	10.29972448
70	10.00255382
71	9.738729142
72	9.476821986
73	9.228732578
74	8.987568836
75	8.777535887
76	8.57273924
77	8.376351264
78	8.193311597
79	8.018298751
80	7.867449728
81	7.71572124
82	7.56998083
83	7.438976514
84	7.316394975
85	7.196077129
86	7.080560238
87	6.973862386
88	6.877878107
89	6.794382862
90	6.705883977
91	6.628305965
92	6.555883351
93	6.478887473
94	6.411523268
95	6.340046735
96	6.281601077
97	6.224595442
98	6.172694321
99	6.123746134
100	6.077199842
101	6.0269463
102	5.979049444
103	5.936278349
104	5.894339769
105	5.855021302
106	5.820859889
107	5.788224589
108	5.757566481
109	5.725835087
110	5.686765733
111	5.657049445
112	5.624138357
113	5.595681991
114	5.569691437
115	5.536631888
116	5.514685792
117	5.489801173
118	5.468557294
119	5.444623403
120	5.416932743
121	5.402200315
122	5.383859605
123	5.367577497
124	5.348861986
125	5.317681476
126	5.305117254
127	5.277391927
128	5.256361389
129	5.24135844
130	5.224500054
131	5.196041272
132	5.179660447
133	5.155298119
134	5.138522963
135	5.125834291
136	5.113184751
137	5.101164144
138	5.08241338
139	5.072416355
140	5.056344834
141	5.042191186
142	5.024501702
143	5.011677453
144	4.994015745
145	4.977314523
146	4.953571646
147	4.942516569
148	4.933204704
149	4.924650678
150	4.911839276
151	4.903893348
152	4.896272667
153	4.881119888
154	4.869726583
155	4.85931702
156	4.843512749
157	4.830222002
158	4.816547761
159	4.802119503
160	4.79030225
161	4.78126824
162	4.771564259
163	4.764346248
164	4.748531209
165	4.736817967
166	4.721115069
167	4.714980458
168	4.703248459
169	4.693038434
170	4.683521987
171	4.674491411
172	4.665758939
173	4.655727168
174	4.644175284
175	4.628807353
176	4.618629095
177	4.603470307
178	4.597090651
179	4.589596412
180	4.57831399
181	4.570106204
182	4.554136871
183	4.543327367
184	4.526153779
185	4.514966724
186	4.507625028
187	4.492153861
188	4.485573868
189	4.469492936
190	4.46433809
191	4.457179702
192	4.450286777
193	4.437164454
194	4.424153876
195	4.410054265
196	4.401248364
197	4.385411982
198	4.369728229
199	4.354865724
200	4.345397855
201	4.335542134
202	4.323656007
203	4.316245471
204	4.302533815
205	4.293798393
206	4.283844269
207	4.273582161
208	4.252108987
209	4.240467474
210	4.232967354
211	4.224015894
212	4.215372939
213	4.196051886
214	4.185485796
215	4.16677899
216	4.153700159
217	4.146959408
218	4.137698453
219	4.13036849
220	4.123067181
221	4.113230873
222	4.104577285
223	4.095897846
224	4.078294443
225	4.069567933
226	4.063265724
227	4.05509985
228	4.04061018
229	4.033162126
230	4.026562167
231	4.010803006
232	4.002127214
233	3.995292659
234	3.982718087
235	3.975641914
236	3.96303848
237	3.951984466
238	3.947686885
239	3.942713834
240	3.933947586
241	3.926991568
242	3.920900852
243	3.913341756
244	3.906429587
245	3.898558199
246	3.89215725
247	3.878051809
248	3.864119489
249	3.856861346
250	3.850411577
251	3.843264371
252	3.83645226
253	3.82554805
254	3.819976267
255	3.813993425
256	3.808175085
257	3.800870486
258	3.788253107
259	3.78344352
260	3.77658581
261	3.768663922
262	3.764121522
263	3.758248137
264	3.752804274
265	3.748565167
266	3.739178614
267	3.727178655
268	3.721626481
269	3.710336606
270	3.704966614
271	3.694959116
272	3.686072062
273	3.680461419
274	3.676395791
275	3.67257512
276	3.661884764
277	3.654867514
278	3.650981139
279	3.645447973
280	3.641688457
281	3.63638053
282	3.6288082
283	3.624534652
284	3.619719219
285	3.61604245
286	3.612504973
287	3.604059582
288	3.600399609
289	3.59065593
290	3.586795774
291	3.577776021
292	3.573203939
293	3.567638079
294	3.562436025
295	3.55946026
296	3.551777144
297	3.547315117
298	3.543383124
299	3.533336744
300	3.529850645
301	3.52063289
302	3.513439621
303	3.510064368
304	3.503339271
305	3.495272094
306	3.491756741
307	3.483859963
308	3.476857933
309	3.47314099
310	3.466398533
311	3.458646139
312	3.454139031
313	3.44571455
314	3.439836962
315	3.436074438
316	3.433121164
317	3.425307781
318	3.422120739
319	3.41458256
320	3.409460124
