SYMBOL,YAHOO_SYMBOL
PAYTM,PAYTM.NS
SHRIRAMFIN,SHRIRAMFIN.NS
BHARATFORG,BHARATFORG.NS
MPHASIS,MPHASIS.NS
ASHOKLEY,ASHOKLEY.NS
PEL,PEL.NS
CIPLA,CIPLA.NS
DIVISLAB,DIVISLAB.NS
IDEA,IDEA.NS
PIIND,PIIND.NS
TATAPOWER,TATAPOWER.NS
INDUSTOWER,INDUSTOWER.NS
SJVN,SJVN.NS
DELHIVERY,DELHIVERY.NS
BHARTIARTL,BHARTIARTL.NS
APOLLOHOSP,APOLLOHOSP.NS
LAURUSLABS,LAURUSLABS.NS
LTF,LTF.NS
BALKRISIND,BALKRISIND.NS
INDHOTEL,INDHOTEL.NS
VEDL,VEDL.NS
JSWENERGY,JSWENERGY.NS
JINDALSTEL,JINDALSTEL.NS
BANDHANBNK,BANDHANBNK.NS
ADANIPORTS,ADANIPORTS.NS
CHOLAFIN,CHOLAFIN.NS
GMRINFRA,GMRINFRA.NS
NMDC,NMDC.NS
WIPRO,WIPRO.NS
OBEROIRLTY,OBEROIRLTY.NS
SAIL,SAIL.NS
TATASTEEL,TATASTEEL.NS
ADANIENT,ADANIENT.NS
SUNPHARMA,SUNPHARMA.NS
DIXON,DIXON.NS
SBILIFE,SBILIFE.NS
LTIM,LTIM.NS
HCLTECH,HCLTECH.NS
ICICIPRULI,ICICIPRULI.NS
HINDALCO,HINDALCO.NS
PFC,PFC.NS
AUBANK,AUBANK.NS
INFY,INFY.NS
LICHSGFIN,LICHSGFIN.NS
BEL,BEL.NS
ABCAPITAL,ABCAPITAL.NS
ABB,ABB.NS
HDFCLIFE,HDFCLIFE.NS
TIINDIA,TIINDIA.NS
COALINDIA,COALINDIA.NS
TATACOMM,TATACOMM.NS
UPL,UPL.NS
JSWSTEEL,JSWSTEEL.NS
NAUKRI,NAUKRI.NS
IDBI,IDBI.NS
POONAWALLA,POONAWALLA.NS
ZOMATO,ZOMATO.NS
SUPREMEIND,SUPREMEIND.NS
ADANIPOWER,ADANIPOWER.NS
CONCOR,CONCOR.NS
DALBHARAT,DALBHARAT.NS
RECLTD,RECLTD.NS
ALKEM,ALKEM.NS
NHPC,NHPC.NS
LUPIN,LUPIN.NS
